id,company_id,system_id,equipment_type_id,name,frequency_type,frequency_value,estimated_minutes,remarks,template_code,template_name,description,estimated_duration
PMT-TKB-SYS019-EQ005-MTH,TKB,SYS019,EQ-005,PM Ventilation System รายเดือน,month,1,60,"ตรวจสอบความสะอาด, สภาพโดยรวม, การทำงาน (เสียง/สั่น), ความตึงสายพาน",,PM Ventilation System รายเดือน,,
PMT-TKB-SYS019-EQ006-3MTH,TKB,SYS019,EQ-006,PM Cooling Pad ราย 3 เดือน,month,3,90,ตรวจเช็คระบบควบคุม (รับคำสั่งจาก Controller),,PM Cooling Pad ราย 3 เดือน,,
PMT-TKB-SYS019-EQ006-MTH,TKB,SYS019,EQ-006,PM Cooling Pad รายเดือน,month,1,60,ตรวจสอบการทำงาน (ปั๊ม/ลูกลอย/เซ็นเซอร์) และทำความสะอาดไส้กรองปั๊ม,,PM Cooling Pad รายเดือน,,
PMT-TKB-SYS019-EQ007-3MTH,TKB,SYS019,EQ-007,PM Lighting System ราย 3 เดือน,month,3,45,ตรวจสอบระบบควบคุมแสงสว่าง (Timer / Dimmer),,PM Lighting System ราย 3 เดือน,,
PMT-TKB-SYS020-EQ008-3MTH,TKB,SYS020,EQ-008,PM ระบบให้อาหาร ราย 3 เดือน,month,3,90,หยอดน้ำมันโซ่ และตรวจสอบระบบควบคุมอัตโนมัติ,,PM ระบบให้อาหาร ราย 3 เดือน,,
PMT-TKB-SYS020-EQ008-6MTH,TKB,SYS020,EQ-008,PM ระบบให้อาหาร ราย 6 เดือน,month,6,120,อัดจาระบีตามจุดที่กำหนด,,PM ระบบให้อาหาร ราย 6 เดือน,,
PMT-TKB-SYS020-EQ008-MTH,TKB,SYS020,EQ-008,PM ระบบให้อาหาร รายเดือน,month,1,60,"ตรวจสอบความสะอาด, การทำงานของมอเตอร์และเซ็นเซอร์",,PM ระบบให้อาหาร รายเดือน,,
PMT-TKB-SYS020-EQ010-3MTH,TKB,SYS020,EQ-010,PM Manure Belt ราย 3 เดือน,month,3,90,หยอดน้ำมันโซ่ และตรวจสอบระบบควบคุม,,PM Manure Belt ราย 3 เดือน,,
PMT-TKB-SYS020-EQ010-6MTH,TKB,SYS020,EQ-010,PM Manure Belt ราย 6 เดือน,month,6,120,อัดจาระบี และตรวจสอบสภาพลูกปืน/เฟือง/ลูกกลิ้ง,,PM Manure Belt ราย 6 เดือน,,
PMT-TKB-SYS020-EQ010-MTH,TKB,SYS020,EQ-010,PM Manure Belt รายเดือน,month,1,60,ตรวจสอบการทำงานของสายพานและมอเตอร์,,PM Manure Belt รายเดือน,,
PMT-TKB-SYS024-EQ021-3MTH,TKB,SYS024,EQ-021,PM ระบบพ่นฆ่าเชื้อ ราย 3 เดือน,month,3,90,"ทำความสะอาดหัวสเปรย์ (โรงรถยนต์), ห้องอาบน้ำสเปรย์, ห้องสเปรย์หน้าป้อม (ทุกวันอาทิตย์สุดท้ายของเดือน)",,PM ระบบพ่นฆ่าเชื้อ ราย 3 เดือน,,
PMT-TKB-SYS024-EQ021-6MTH,TKB,SYS024,EQ-021,PM ระบบพ่นฆ่าเชื้อ ราย 6 เดือน,month,6,120,"อัดจาระบี, ตรวจสอบซีล, เปลี่ยนถ่ายน้ำมันเครื่องของปั๊ม",,PM ระบบพ่นฆ่าเชื้อ ราย 6 เดือน,,
PMT-TKB-SYS024-EQ021-MTH,TKB,SYS024,EQ-021,PM ระบบพ่นฆ่าเชื้อ รายเดือน,month,1,60,ตรวจสอบสภาพปั๊ม/มอเตอร์/สายพาน และการทำงานของวาล์ว/เกจ,,PM ระบบพ่นฆ่าเชื้อ รายเดือน,,
pmt1,comp1,sys1,et1,Conveyor Belt Monthly Check,monthly,1,60,Check belt tension and alignment,,Conveyor Belt Monthly Check,,
pmt2,comp1,sys1,et2,CNC Machine Weekly Maintenance,weekly,1,120,Lubrication and calibration check,,CNC Machine Weekly Maintenance,,
pmt3,comp1,sys2,et3,Pump Quarterly Service,quarterly,3,90,Filter replacement and pressure check,,Pump Quarterly Service,,
pmt4,comp2,sys3,et4,Generator Monthly Test,monthly,1,45,Load test and fuel check,,Generator Monthly Test,,
pmt5,comp3,sys2,et5,HVAC System Bi-annual Service,yearly,6,180,Complete system overhaul,,HVAC System Bi-annual Service,,
